Model Family,Model Nickname,HuggingFace Path,HuggingFace Revision,Tokens,Parameters,Layers,Dimension,Context Length,Parameters Excluding Embeddings,Batch Size,Warming Up
Pythia,Pythia_14M_2M,EleutherAI/pythia-14m,step1,2000000,14000000,6,128,2048,1189888,2000000,1
Pythia,Pythia_14M_64M,EleutherAI/pythia-14m,step32,64000000,14000000,6,128,2048,1189888,2000000,1
Pythia,Pythia_14M_512M,EleutherAI/pythia-14m,step256,512000000,14000000,6,128,2048,1189888,2000000,1
Pythia,Pythia_14M_2B,EleutherAI/pythia-14m,step1000,2000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_14M_6B,EleutherAI/pythia-14m,step3000,6000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_14M_20B,EleutherAI/pythia-14m,step10000,20000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_14M_60B,EleutherAI/pythia-14m,step30000,60000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_14M_200B,EleutherAI/pythia-14m,step100000,200000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_14M_300B,EleutherAI/pythia-14m,step143000,300000000000,14000000,6,128,2048,1189888,2000000,0
Pythia,Pythia_70M_2M,EleutherAI/pythia-70m,step1,2000000,70000000,6,512,2048,18915328,2000000,1
Pythia,Pythia_70M_64M,EleutherAI/pythia-70m,step32,64000000,70000000,6,512,2048,18915328,2000000,1
Pythia,Pythia_70M_512M,EleutherAI/pythia-70m,step256,512000000,70000000,6,512,2048,18915328,2000000,1
Pythia,Pythia_70M_2B,EleutherAI/pythia-70m,step1000,2000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_70M_6B,EleutherAI/pythia-70m,step3000,6000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_70M_20B,EleutherAI/pythia-70m,step10000,20000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_70M_60B,EleutherAI/pythia-70m,step30000,60000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_70M_200B,EleutherAI/pythia-70m,step100000,200000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_70M_300B,EleutherAI/pythia-70m,step143000,300000000000,70000000,6,512,2048,18915328,2000000,0
Pythia,Pythia_160M_2M,EleutherAI/pythia-160m,step1,2000000,160000000,12,768,2048,85056000,2000000,1
Pythia,Pythia_160M_64M,EleutherAI/pythia-160m,step32,64000000,160000000,12,768,2048,85056000,2000000,1
Pythia,Pythia_160M_512M,EleutherAI/pythia-160m,step256,512000000,160000000,12,768,2048,85056000,2000000,1
Pythia,Pythia_160M_2B,EleutherAI/pythia-160m,step1000,2000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_160M_6B,EleutherAI/pythia-160m,step3000,6000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_160M_20B,EleutherAI/pythia-160m,step10000,20000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_160M_60B,EleutherAI/pythia-160m,step30000,60000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_160M_200B,EleutherAI/pythia-160m,step100000,200000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_160M_300B,EleutherAI/pythia-160m,step143000,300000000000,160000000,12,768,2048,85056000,2000000,0
Pythia,Pythia_410M_2M,EleutherAI/pythia-410m,step1,2000000,410000000,24,1024,2048,302311424,2000000,1
Pythia,Pythia_410M_64M,EleutherAI/pythia-410m,step32,64000000,410000000,24,1024,2048,302311424,2000000,1
Pythia,Pythia_410M_512M,EleutherAI/pythia-410m,step256,512000000,410000000,24,1024,2048,302311424,2000000,1
Pythia,Pythia_410M_2B,EleutherAI/pythia-410m,step1000,2000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_410M_6B,EleutherAI/pythia-410m,step3000,6000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_410M_20B,EleutherAI/pythia-410m,step10000,20000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_410M_60B,EleutherAI/pythia-410m,step30000,60000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_410M_200B,EleutherAI/pythia-410m,step100000,200000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_410M_300B,EleutherAI/pythia-410m,step143000,300000000000,410000000,24,1024,2048,302311424,2000000,0
Pythia,Pythia_1B_2M,EleutherAI/pythia-1b,step1,2000000,1000000000,16,2048,2048,805736448,2000000,1
Pythia,Pythia_1B_64M,EleutherAI/pythia-1b,step32,64000000,1000000000,16,2048,2048,805736448,2000000,1
Pythia,Pythia_1B_512M,EleutherAI/pythia-1b,step256,512000000,1000000000,16,2048,2048,805736448,2000000,1
Pythia,Pythia_1B_2B,EleutherAI/pythia-1b,step1000,2000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1B_6B,EleutherAI/pythia-1b,step3000,6000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1B_20B,EleutherAI/pythia-1b,step10000,20000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1B_60B,EleutherAI/pythia-1b,step30000,60000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1B_200B,EleutherAI/pythia-1b,step100000,200000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1B_300B,EleutherAI/pythia-1b,step143000,300000000000,1000000000,16,2048,2048,805736448,2000000,0
Pythia,Pythia_1.4B_2M,EleutherAI/pythia-1.4b,step1,2000000,1400000000,24,2048,2048,1208602624,2000000,1
Pythia,Pythia_1.4B_64M,EleutherAI/pythia-1.4b,step32,64000000,1400000000,24,2048,2048,1208602624,2000000,1
Pythia,Pythia_1.4B_512M,EleutherAI/pythia-1.4b,step256,512000000,1400000000,24,2048,2048,1208602624,2000000,1
Pythia,Pythia_1.4B_2B,EleutherAI/pythia-1.4b,step1000,2000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_1.4B_6B,EleutherAI/pythia-1.4b,step3000,6000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_1.4B_20B,EleutherAI/pythia-1.4b,step10000,20000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_1.4B_60B,EleutherAI/pythia-1.4b,step30000,60000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_1.4B_200B,EleutherAI/pythia-1.4b,step100000,200000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_1.4B_300B,EleutherAI/pythia-1.4b,step143000,300000000000,1400000000,24,2048,2048,1208602624,2000000,0
Pythia,Pythia_2.8B_2M,EleutherAI/pythia-2.8b,step1,2000000,2800000000,32,2560,2048,2517652480,2000000,1
Pythia,Pythia_2.8B_64M,EleutherAI/pythia-2.8b,step32,64000000,2800000000,32,2560,2048,2517652480,2000000,1
Pythia,Pythia_2.8B_512M,EleutherAI/pythia-2.8b,step256,512000000,2800000000,32,2560,2048,2517652480,2000000,1
Pythia,Pythia_2.8B_2B,EleutherAI/pythia-2.8b,step1000,2000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_2.8B_6B,EleutherAI/pythia-2.8b,step3000,6000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_2.8B_20B,EleutherAI/pythia-2.8b,step10000,20000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_2.8B_60B,EleutherAI/pythia-2.8b,step30000,60000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_2.8B_200B,EleutherAI/pythia-2.8b,step100000,200000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_2.8B_300B,EleutherAI/pythia-2.8b,step143000,300000000000,2800000000,32,2560,2048,2517652480,2000000,0
Pythia,Pythia_6.9B_2M,EleutherAI/pythia-6.9b,step1,2000000,6900000000,32,4096,2048,6444163072,2000000,1
Pythia,Pythia_6.9B_64M,EleutherAI/pythia-6.9b,step32,64000000,6900000000,32,4096,2048,6444163072,2000000,1
Pythia,Pythia_6.9B_512M,EleutherAI/pythia-6.9b,step256,512000000,6900000000,32,4096,2048,6444163072,2000000,1
Pythia,Pythia_6.9B_2B,EleutherAI/pythia-6.9b,step1000,2000000000,6900000000,32,4096,2048,6444163072,2000000,0
